vintage,age,gender,line,table_code,qx,source
2000,10,M,non_pension_type1,CL1,0.000312,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,11,M,non_pension_type1,CL1,0.000312,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,12,M,non_pension_type1,CL1,0.000313,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,13,M,non_pension_type1,CL1,0.00032,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,14,M,non_pension_type1,CL1,0.000336,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,15,M,non_pension_type1,CL1,0.000364,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,16,M,non_pension_type1,CL1,0.000404,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,17,M,non_pension_type1,CL1,0.000455,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,18,M,non_pension_type1,CL1,0.000513,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,19,M,non_pension_type1,CL1,0.000572,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,20,M,non_pension_type1,CL1,0.000621,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,21,M,non_pension_type1,CL1,0.000661,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,22,M,non_pension_type1,CL1,0.000692,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,23,M,non_pension_type1,CL1,0.000716,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,24,M,non_pension_type1,CL1,0.000738,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,25,M,non_pension_type1,CL1,0.000759,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,26,M,non_pension_type1,CL1,0.000779,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,27,M,non_pension_type1,CL1,0.000795,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,28,M,non_pension_type1,CL1,0.000815,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,29,M,non_pension_type1,CL1,0.000842,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,30,M,non_pension_type1,CL1,0.000881,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,31,M,non_pension_type1,CL1,0.000932,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,32,M,non_pension_type1,CL1,0.000994,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,33,M,non_pension_type1,CL1,0.001055,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,34,M,non_pension_type1,CL1,0.001121,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,35,M,non_pension_type1,CL1,0.001194,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,36,M,non_pension_type1,CL1,0.001275,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,37,M,non_pension_type1,CL1,0.001367,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,38,M,non_pension_type1,CL1,0.001472,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,39,M,non_pension_type1,CL1,0.001589,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,40,M,non_pension_type1,CL1,0.001715,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,41,M,non_pension_type1,CL1,0.001845,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,42,M,non_pension_type1,CL1,0.001978,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,43,M,non_pension_type1,CL1,0.002113,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,44,M,non_pension_type1,CL1,0.002255,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,45,M,non_pension_type1,CL1,0.002413,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,46,M,non_pension_type1,CL1,0.002595,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,47,M,non_pension_type1,CL1,0.002805,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,48,M,non_pension_type1,CL1,0.003042,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,49,M,non_pension_type1,CL1,0.003299,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,50,M,non_pension_type1,CL1,0.00357,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,51,M,non_pension_type1,CL1,0.003847,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,52,M,non_pension_type1,CL1,0.004132,"CL(2000-2003), CIRC Notice ????2005?133?"
