date,csi300,sp500,stoxx50
2023-08-30,3788.51,4514.8701,4315.31
2023-08-31,3765.268,4507.6602,4297.11
2023-09-01,3791.491,4515.77,4282.64
2023-09-05,3820.317,4496.8301,4269.16
2023-09-06,3812.028,4465.48,4238.26
2023-09-07,3758.475,4451.1401,4221.02
2023-09-08,3739.993,4457.4902,4237.19
2023-09-11,3767.537,4487.46,4254.33
2023-09-12,3760.605,4461.8999,4242.27
2023-09-13,3736.651,4467.4399,4223.48
2023-09-14,3733.508,4505.1001,4279.75
2023-09-15,3708.777,4450.3198,4295.05
2023-09-18,3727.711,4453.5298,4245.88
2023-09-19,3720.502,4443.9502,4242.7
2023-09-20,3705.69,4402.2002,4275.98
2023-09-21,3672.445,4330.0,4212.59
2023-09-22,3738.933,4320.0601,4207.16
2023-09-25,3714.604,4337.4399,4167.37
2023-09-26,3692.893,4273.5298,4129.18
2023-09-27,3700.495,4274.5098,4131.68
2023-09-28,3689.517,4299.7002,4161.56
2023-10-09,3684.727,4335.6602,4112.57
2023-10-10,3657.126,4358.2402,4205.23
2023-10-11,3667.548,4376.9502,4200.8
2023-10-12,3702.382,4349.6099,4198.23
2023-10-13,3663.41,4327.7798,4136.12
2023-10-16,3626.597,4373.6299,4149.86
2023-10-17,3639.402,4373.2002,4152.32
2023-10-18,3610.577,4314.6001,4105.86
2023-10-19,3533.545,4278.0,4090.33
2023-10-20,3510.589,4224.1602,4024.68
2023-10-23,3474.244,4217.04,4041.75
2023-10-24,3487.13,4247.6802,4065.37
2023-10-25,3504.458,4186.77,4073.35
2023-10-26,3514.145,4137.23,4049.4
2023-10-27,3562.385,4117.3701,4014.36
2023-10-30,3583.772,4166.8198,4028.32
2023-10-31,3572.506,4193.7998,4061.12
2023-11-01,3571.027,4237.8599,4091.71
2023-11-02,3554.189,4317.7798,4169.62
2023-11-03,3584.136,4358.3398,4174.67
2023-11-06,3632.608,4365.98,4158.64
2023-11-07,3619.759,4378.3799,4153.37
2023-11-08,3611.072,4382.7798,4178.49
2023-11-09,3612.826,4347.3501,4229.2
2023-11-10,3586.489,4415.2402,4197.36
2023-11-13,3579.414,4411.5498,4232.19
2023-11-14,3582.058,4495.7002,4291.72
2023-11-15,3607.245,4502.8799,4315.53
2023-11-16,3572.364,4508.2402,4302.45
2023-11-17,3568.069,4514.02,4340.77
2023-11-20,3576.323,4547.3799,4342.41
2023-11-21,3581.067,4538.1899,4331.9
2023-11-22,3544.416,4556.6201,4352.02
2023-11-24,3538.009,4559.3398,4372.1
2023-11-27,3511.942,4550.4302,4354.41
2023-11-28,3518.523,4554.8901,4348.02
2023-11-29,3488.307,4550.5801,4370.53
2023-11-30,3496.203,4567.7998,4382.47
2023-12-01,3482.881,4594.6299,4418.51
2023-12-04,3460.138,4569.7798,4414.95
2023-12-05,3394.257,4567.1802,4452.77
2023-12-06,3399.598,4549.3398,4483.26
2023-12-07,3391.282,4585.5898,4473.77
2023-12-08,3399.462,4604.3701,4523.31
2023-12-11,3419.455,4622.4399,4540.19
2023-12-12,3426.803,4643.7002,4536.61
2023-12-13,3369.605,4707.0898,4530.19
2023-12-14,3351.964,4719.5498,4539.16
2023-12-15,3341.552,4719.1899,4549.44
2023-12-18,3329.366,4740.5601,4521.13
2023-12-19,3334.041,4768.3701,4535.4
2023-12-20,3297.502,4698.3501,4533.82
2023-12-21,3330.87,4746.75,4524.86
2023-12-22,3337.228,4754.6299,4521.47
2023-12-27,3336.357,4781.5801,4528.38
2023-12-28,3414.54,4783.3501,4514.38
2023-12-29,3431.11,4769.8301,4521.65
2024-01-02,3386.352,4742.8301,4512.81
2024-01-03,3378.297,4704.8101,4448.13
2024-01-04,3347.052,4688.6802,4474.01
2024-01-05,3329.111,4697.2402,4463.51
2024-01-08,3286.056,4763.54,4485.48
2024-01-09,3292.499,4756.5,4467.17
2024-01-10,3277.129,4783.4502,4468.98
2024-01-11,3295.672,4780.2402,4442.28
2024-01-12,3284.167,4783.8301,4480.02
2024-01-16,3300.876,4765.98,4446.51
2024-01-17,3229.082,4739.21,4403.08
2024-01-18,3274.729,4780.9399,4453.05
2024-01-19,3269.776,4839.8101,4448.83
2024-01-22,3218.902,4850.4302,4480.32
2024-01-23,3231.933,4864.6001,4465.91
2024-01-24,3277.109,4868.5498,4564.11
2024-01-25,3342.919,4894.1602,4582.26
2024-01-26,3333.821,4890.9702,4635.47
2024-01-29,3303.96,4927.9302,4639.36
2024-01-30,3245.039,4924.9702,4662.7
2024-01-31,3215.352,4845.6499,4648.4
2024-02-01,3217.711,4906.1899,4638.6
2024-02-02,3179.628,4958.6099,4654.55
2024-02-05,3200.422,4942.8101,4655.27
2024-02-06,3311.692,4954.23,4690.87
2024-02-07,3343.63,4995.0601,4678.85
2024-02-08,3364.93,4997.9102,4710.78
2024-02-20,3410.854,4975.5098,4760.28
2024-02-21,3456.871,4981.7998,4775.31
2024-02-22,3486.675,5087.0298,4855.36
2024-02-23,3489.742,5088.7998,4872.57
2024-02-26,3453.359,5069.5298,4864.29
2024-02-27,3494.787,5078.1802,4885.74
2024-02-28,3450.26,5069.7598,4883.77
2024-02-29,3516.083,5096.27,4877.77
2024-03-01,3537.804,5137.0801,4894.86
2024-03-04,3540.869,5130.9502,4912.92
2024-03-05,3565.514,5078.6499,4893.07
2024-03-06,3551.048,5104.7598,4915.49
2024-03-07,3529.72,5157.3599,4974.22
2024-03-08,3544.91,5123.6899,4961.11
2024-03-11,3589.264,5117.9399,4930.42
2024-03-12,3597.494,5175.27,4983.2
2024-03-13,3572.361,5165.3101,5000.55
2024-03-14,3562.223,5150.48,4993.12
2024-03-15,3569.993,5117.0898,4986.02
2024-03-18,3603.528,5149.4199,4982.76
2024-03-19,3577.63,5178.5098,5007.92
2024-03-20,3585.384,5224.6201,5000.31
2024-03-21,3581.09,5241.5298,5052.31
2024-03-22,3545.002,5234.1802,5031.15
2024-03-25,3525.763,5218.1899,5044.19
2024-03-26,3543.747,5203.5801,5064.18
2024-03-27,3502.787,5248.4902,5081.74
2024-03-28,3520.965,5254.3501,5083.42
2024-04-02,3580.676,5205.8101,5042.0
2024-04-03,3567.803,5211.4902,5069.25
2024-04-08,3536.408,5202.3901,5046.05
2024-04-09,3533.487,5209.9102,4990.9
2024-04-10,3504.709,5160.6401,5000.83
2024-04-11,3504.245,5199.0601,4966.68
2024-04-12,3475.839,5123.4102,4955.01
2024-04-15,3549.076,5061.8198,4984.48
2024-04-16,3511.115,5051.4102,4916.99
2024-04-17,3565.403,5022.21,4914.13
2024-04-18,3569.802,5011.1201,4936.57
2024-04-19,3541.662,4967.23,4918.09
2024-04-22,3530.905,5010.6001,4936.85
2024-04-23,3506.225,5070.5498,5008.17
2024-04-24,3521.622,5071.6299,4989.88
2024-04-25,3530.281,5048.4199,4939.01
2024-04-26,3584.269,5099.96,5006.85
2024-04-29,3623.912,5116.1699,4981.09
2024-04-30,3604.394,5035.6899,4921.22
2024-05-06,3657.877,5180.7402,4956.96
2024-05-07,3659.008,5187.7002,5016.1
2024-05-08,3630.223,5187.6699,5038.17
2024-05-09,3664.561,5214.0801,5054.41
2024-05-10,3666.277,5222.6802,5085.08
2024-05-13,3664.691,5221.4199,5078.96
2024-05-14,3657.045,5246.6802,5080.29
2024-05-15,3626.056,5308.1499,5100.9
2024-05-16,3640.359,5297.1001,5072.45
2024-05-17,3677.97,5303.27,5064.14
2024-05-20,3690.962,5308.1299,5074.34
2024-05-21,3676.161,5321.4102,5046.99
2024-05-22,3684.451,5307.0098,5025.17
2024-05-23,3641.792,5267.8398,5037.6
2024-05-24,3601.475,5304.7202,5035.41
2024-05-28,3609.172,5306.04,5030.35
2024-05-29,3613.522,5266.9502,4963.2
2024-05-30,3594.312,5235.48,4982.18
2024-05-31,3579.925,5277.5098,4983.67
2024-06-03,3588.748,5283.3999,5003.54
2024-06-04,3615.671,5291.3398,4953.37
2024-06-05,3594.794,5354.0298,5035.66
2024-06-06,3592.245,5352.96,5069.09
2024-06-07,3574.114,5346.9902,5051.31
2024-06-11,3542.877,5375.3198,4965.09
2024-06-12,3544.123,5421.0298,5034.43
2024-06-13,3526.131,5433.7402,4935.5
2024-06-14,3541.533,5431.6001,4839.14
2024-06-17,3536.199,5473.23,4880.42
2024-06-18,3545.59,5487.0298,4915.47
2024-06-20,3503.282,5473.1699,4947.73
2024-06-21,3495.62,5464.6201,4907.3
2024-06-24,3476.81,5447.8701,4950.98
2024-06-25,3457.902,5469.2998,4935.97
2024-06-26,3480.265,5477.8999,4915.94
2024-06-27,3454.118,5482.8701,4902.6
2024-06-28,3461.657,5460.48,4894.02
